model_name,end_time_source,end_time
BIOMD0000000001,max_median_cv,62.859927567160355
BIOMD0000000002,max_median_cv,606.5499494954367
BIOMD0000000003,max_median_cv,0.2489786043829815
BIOMD0000000004,max_median_cv,20.80803530542972
BIOMD0000000005,sedml,100.0
BIOMD0000000006,,
BIOMD0000000007,max_median_cv,2646.490921123927
BIOMD0000000008,max_median_cv,0.0030009023342075
BIOMD0000000009,max_median_cv,1.810646468000652
BIOMD0000000010,sedml,9000.0
BIOMD0000000011,max_median_cv,2.9495476909282043
BIOMD0000000012,max_median_cv,4032.015328579616
BIOMD0000000013,max_median_cv,0.1688282211810368
BIOMD0000000014,max_median_cv,3.4273761710351867
BIOMD0000000015,steadystate,0.9921875
BIOMD0000000016,max_median_cv,14.47962859807148
BIOMD0000000017,steadystate,0.9921875
BIOMD0000000018,max_median_cv,153298.4790389548
BIOMD0000000019,max_median_cv,0.0127708085747963
BIOMD0000000020,,
BIOMD0000000021,max_median_cv,0.1578901805901543
BIOMD0000000022,max_median_cv,1556.3431128055108
BIOMD0000000023,steadystate,4064.0
BIOMD0000000026,steadystate,2032.0
BIOMD0000000027,steadystate,2032.0
BIOMD0000000028,steadystate,2048.0
BIOMD0000000029,steadystate,2048.0
BIOMD0000000030,steadystate,2048.0
BIOMD0000000031,steadystate,256.0
BIOMD0000000032,max_median_cv,71004.9475268884
BIOMD0000000033,max_median_cv,25.046449073189255
BIOMD0000000035,max_median_cv,45091.66679359715
BIOMD0000000036,max_median_cv,2427.1674952280737
BIOMD0000000037,max_median_cv,14615.634255394903
BIOMD0000000038,steadystate,0.9921875
BIOMD0000000039,max_median_cv,53.71111093579897
BIOMD0000000040,max_median_cv,57.914679945105874
BIOMD0000000041,steadystate,0.9921875
BIOMD0000000042,sedml,300.0
BIOMD0000000043,max_median_cv,1.000015323109476e-05
BIOMD0000000044,max_median_cv,62.87778480068272
BIOMD0000000045,max_median_cv,62.800982988123046
BIOMD0000000046,max_median_cv,1230.2352428245697
BIOMD0000000047,max_median_cv,579.1535128396395
BIOMD0000000048,max_median_cv,0.1166465729098464
BIOMD0000000049,max_median_cv,7655.271396485119
BIOMD0000000050,max_median_cv,0.001867581479384
BIOMD0000000051,max_median_cv,95.1007725998092
BIOMD0000000052,max_median_cv,282409.3174860171
BIOMD0000000053,max_median_cv,0.0532737176070875
BIOMD0000000054,steadystate,254.0
BIOMD0000000055,max_median_cv,252.1395292602727
BIOMD0000000056,max_median_cv,288.8281714198665
BIOMD0000000057,steadystate,16.0
BIOMD0000000058,max_median_cv,6.730137825069835
BIOMD0000000059,max_median_cv,88914.9160973416
BIOMD0000000060,steadystate,15.875
BIOMD0000000061,max_median_cv,97.24500221028036
BIOMD0000000062,max_median_cv,3.9914517228181384e-05
BIOMD0000000063,steadystate,0.9921875
BIOMD0000000064,max_median_cv,0.2701428804245163
BIOMD0000000065,max_median_cv,38.21804051921795
BIOMD0000000066,max_median_cv,4.925778545251441e-05
BIOMD0000000067,max_median_cv,0.036205805179996
BIOMD0000000068,steadystate,1016.0
BIOMD0000000069,max_median_cv,26.06374858201079
BIOMD0000000070,steadystate,15.875
BIOMD0000000071,max_median_cv,0.2417357495130619
BIOMD0000000072,max_median_cv,0.0018270618381366
BIOMD0000000073,max_median_cv,1.0000104824254309e-05
BIOMD0000000074,max_median_cv,0.1167762066148465
BIOMD0000000075,max_median_cv,20.812194714510607
BIOMD0000000076,steadystate,0.9921875
BIOMD0000000077,max_median_cv,515.9267813543595
BIOMD0000000078,max_median_cv,1.0000090387449184e-05
BIOMD0000000079,max_median_cv,30518.630707323828
BIOMD0000000080,max_median_cv,319206.79421176744
BIOMD0000000081,max_median_cv,14.144761953876936
BIOMD0000000082,max_median_cv,66.62630621830493
BIOMD0000000083,max_median_cv,0.1167819394364607
BIOMD0000000084,steadystate,64.0
BIOMD0000000085,max_median_cv,0.0145124837030754
BIOMD0000000086,max_median_cv,0.0015131386079895
BIOMD0000000087,max_median_cv,11602.873922069057
BIOMD0000000088,max_median_cv,0.0065101602209093
BIOMD0000000089,max_median_cv,1184.5172554849448
BIOMD0000000090,max_median_cv,85.52552347107483
BIOMD0000000091,max_median_cv,97.46927001534876
BIOMD0000000092,max_median_cv,0.0020833870538848
BIOMD0000000093,steadystate,65024.0
BIOMD0000000094,max_median_cv,11.697535397747862
BIOMD0000000095,max_median_cv,62.859927567160355
BIOMD0000000096,max_median_cv,62.859927567160355
BIOMD0000000097,max_median_cv,62.859927567160355
BIOMD0000000098,max_median_cv,139.44983713790535
BIOMD0000000099,max_median_cv,5.600228274697529
BIOMD0000000100,max_median_cv,2.554446276261655
BIOMD0000000101,max_median_cv,62.859927567160355
BIOMD0000000102,max_median_cv,3.132923126055755
BIOMD0000000103,max_median_cv,2.518309921584248
BIOMD0000000104,max_median_cv,6.806220525795038
BIOMD0000000105,max_median_cv,18.647132136090256
BIOMD0000000106,max_median_cv,105.47759605815196
BIOMD0000000107,max_median_cv,0.0301899258535968
BIOMD0000000108,max_median_cv,254.63503068023684
BIOMD0000000109,max_median_cv,2530.7674934103707
BIOMD0000000110,max_median_cv,1.7278379507071015e-05
BIOMD0000000111,max_median_cv,5417.445903112016
BIOMD0000000112,max_median_cv,978.249052076008
BIOMD0000000113,max_median_cv,2.2036709478122094
BIOMD0000000114,max_median_cv,2856.6339019817524
BIOMD0000000115,steadystate,16.0
BIOMD0000000116,steadystate,0.9921875
BIOMD0000000117,max_median_cv,61.67378405531801
BIOMD0000000118,,
BIOMD0000000119,max_median_cv,116.16234243602264
BIOMD0000000120,max_median_cv,240.23004557614144
BIOMD0000000121,max_median_cv,1.0297865687857333e-05
BIOMD0000000122,max_median_cv,2530.7674934103707
BIOMD0000000123,max_median_cv,92.8984163667855
BIOMD0000000124,max_median_cv,3133.087984432817
BIOMD0000000125,max_median_cv,2530.792875041828
BIOMD0000000126,max_median_cv,10.304920005932075
BIOMD0000000127,,
BIOMD0000000128,max_median_cv,497.6620547723576
BIOMD0000000129,,
BIOMD0000000130,,
BIOMD0000000131,,
BIOMD0000000132,,
BIOMD0000000133,,
BIOMD0000000134,,
BIOMD0000000135,,
BIOMD0000000136,,
BIOMD0000000137,max_median_cv,0.1590838613251
BIOMD0000000138,max_median_cv,8242.328278260275
BIOMD0000000139,max_median_cv,2530.7674934103707
BIOMD0000000140,max_median_cv,28.645467131221192
BIOMD0000000141,,
BIOMD0000000142,,
BIOMD0000000143,max_median_cv,0.089617263336103
BIOMD0000000144,max_median_cv,2546.0342748577636
BIOMD0000000145,max_median_cv,46.81013422321262
BIOMD0000000146,max_median_cv,0.3414975077935351
BIOMD0000000147,max_median_cv,0.0030127058293926
BIOMD0000000148,max_median_cv,94.69024920748612
BIOMD0000000149,max_median_cv,1025.5848140572214
BIOMD0000000150,max_median_cv,0.0360404058416017
BIOMD0000000151,max_median_cv,7.330024889929016
BIOMD0000000152,max_median_cv,1.4030258818085335
BIOMD0000000153,max_median_cv,1.4106262159417386
BIOMD0000000156,max_median_cv,9.33938578796419
BIOMD0000000157,max_median_cv,3.422792504070267
BIOMD0000000158,max_median_cv,3.5132758149930017
BIOMD0000000159,max_median_cv,0.0057980108207921
BIOMD0000000160,max_median_cv,27.17498386049144
BIOMD0000000161,max_median_cv,15.926297498036387
BIOMD0000000162,steadystate,31.75
BIOMD0000000163,max_median_cv,305.56222399315226
BIOMD0000000164,max_median_cv,0.6108189016581179
BIOMD0000000165,max_median_cv,0.1476779707656004
BIOMD0000000166,max_median_cv,357.4605311606663
BIOMD0000000167,max_median_cv,212067.93397118777
BIOMD0000000168,max_median_cv,27.848757971351876
BIOMD0000000169,max_median_cv,19165.251013660803
BIOMD0000000170,max_median_cv,62.5282207083908
BIOMD0000000171,max_median_cv,31.8629535818788
BIOMD0000000172,steadystate,1.984375
BIOMD0000000173,max_median_cv,7.09246318425144
BIOMD0000000174,max_median_cv,107.06266729186548
BIOMD0000000175,max_median_cv,0.0256809917452699
BIOMD0000000176,steadystate,4.0
BIOMD0000000177,steadystate,7.9375
BIOMD0000000178,max_median_cv,0.1236665377477714
BIOMD0000000179,max_median_cv,243778.46392515057
BIOMD0000000180,max_median_cv,59.60839489549035
BIOMD0000000181,max_median_cv,3.4581063438494803
BIOMD0000000182,max_median_cv,10073.68390640994
BIOMD0000000183,max_median_cv,5.466569166986308
BIOMD0000000184,max_median_cv,26264.831952293054
BIOMD0000000185,max_median_cv,10.258619412836511
BIOMD0000000186,max_median_cv,2530.7674934103707
BIOMD0000000187,max_median_cv,2530.7674934103707
BIOMD0000000188,max_median_cv,25271.91620536697
BIOMD0000000189,max_median_cv,0.1092456983794435
BIOMD0000000190,max_median_cv,495.46711740216847
BIOMD0000000191,steadystate,128.0
BIOMD0000000192,max_median_cv,0.001492596437936
BIOMD0000000193,max_median_cv,2530.7674934103707
BIOMD0000000194,max_median_cv,2530.7674934103707
BIOMD0000000195,max_median_cv,0.548524569488496
BIOMD0000000197,steadystate,8128.0
BIOMD0000000198,max_median_cv,62.15607948687816
BIOMD0000000199,max_median_cv,0.0117508746482449
BIOMD0000000200,max_median_cv,1.7575495659940683
BIOMD0000000201,max_median_cv,2526.80939627156
BIOMD0000000202,max_median_cv,1.000008615913998e-05
BIOMD0000000203,steadystate,512.0
BIOMD0000000204,steadystate,512.0
BIOMD0000000205,max_median_cv,13547.778651271272
