description,aggregation_type,mean,min,max,median,p25,p30,p75,p95,p99,count
BIOMD0000000539,model,6601.4666641592785,4.0000056822364634e-08,1000000.0,0.6812576694781987,0.4521097132513055,0.5048428894546437,0.999992214821836,1.02284799082534,9.988462259987433,606
BIOMD0000000539,A,0.5844968664355507,2.4889999838961785e-06,0.9999493068736224,0.5809490272598422,0.3405818068974726,0.3928648125423926,0.9381197337200392,0.999933584886893,0.999948398058522,101
BIOMD0000000539,AgB,9901.529661659042,0.0156860334946769,1000000.0,0.5203710776930089,0.3089272828117299,0.3553226486561639,0.734182137481173,1.0258498329188417,1.3469780016650683,101
BIOMD0000000539,gB,1.3350778109055486,4.0000056822364634e-08,10.837077430468293,0.529475989860833,0.4199303944245557,0.4606281416548776,0.5589750805106527,7.048102270126146,10.724922945080914,101
BIOMD0000000539,rB,9901.43095336252,0.0030296536555122,1000000.0,0.5017597168892491,0.2885276925440658,0.3519216471985067,0.6044440065014909,0.7805552338792712,0.9257121452918478,101
BIOMD0000000539,B,9901.939527741,0.00650299565943,1000000.0,0.9999831684306718,0.999817356481476,0.9999361458344646,0.9999910737737466,0.9999923174648528,1.6686079231424782,101
BIOMD0000000539,AB,9901.980267515775,1.0000012559555111,1000000.0,1.000001739608298,1.0000014058972162,1.000001451559682,1.0000028115499937,1.0000418984275554,1.0057956054290331,101
BIOMD0000000558,model,3.6316738627183954e-07,2.36839647307766e-12,4.889974374555628e-05,8.957443043760406e-09,1.2566107189425821e-09,1.4321215818700823e-09,2.413181141603265e-07,4.190604463607317e-07,4.817919632651737e-07,202
BIOMD0000000558,ROS,4.872018268450879e-07,2.36839647307766e-12,4.889974374555628e-05,1.2932206001512543e-09,7.175911242775382e-10,8.301941207132505e-10,1.5992325843809266e-09,8.48707490504204e-09,9.778213130122501e-08,101
BIOMD0000000558,alpha_syn,2.391329456985913e-07,7.246203637123472e-12,5.001324573668928e-07,2.4106609627340344e-07,1.1386773423804209e-07,1.4516170473788325e-07,3.647641493283734e-07,4.263884451485298e-07,4.819744868453747e-07,101
BIOMD0000000563,model,792079.2089108916,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1010
BIOMD0000000563,PAMP,990099.00990099,6.708910589945594e-15,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000563,R,3.893430572444034e-11,0.0,9.256639899035689e-11,3.490319144816567e-11,1.718392095284571e-11,2.0434542946645703e-11,5.8053117868439585e-11,8.699041487147952e-11,9.131850831067824e-11,101
BIOMD0000000563,R_0,990099.00990099,2.0151740826546087e-16,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000563,E_int,990099.00990099,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000563,Callose,990099.00990099,3.1671710499981105e-13,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000563,Path,990099.00990099,4.438495901287576e-15,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000563,Path_bulk,990099.0198019802,1.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000563,PRR,990099.00990099,1.1383667104926638e-16,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000563,PRR_0,5.8096620517676695e-09,0.0,1.3869881909656101e-08,5.262129620930977e-09,2.522300035501246e-09,3.0997910904773107e-09,8.72186611822201e-09,1.3046552727047356e-08,1.3692789568864328e-08,101
BIOMD0000000563,E,990099.00990099,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000573,model,4950.76202333656,2.9789503870798518e-12,1000000.0,0.0019658008355145,6.143294127452315e-10,7.365993720614587e-10,0.3474811997000321,0.737851563776272,4.7454055289878845,202
BIOMD0000000573,V,6.812632882674372e-10,2.9789503870798518e-12,1.623204681777679e-09,6.097486868178593e-10,3.125453201995651e-10,3.6704194747201167e-10,1.0164140598759427e-09,1.5018462017295891e-09,1.598932985752206e-09,101
BIOMD0000000573,C,9901.52404667244,0.0039316000478243,1000000.0,0.348950836488791,0.1972253097932428,0.231846654619326,0.4610453260198617,1.7635839689968085,9.737394134932677,101
BIOMD0000000574,model,366043.53689591045,-29.724210198118666,1000000.0,1.0,0.9986209825251376,0.9999991474118348,1000000.0,1000000.0,1000000.0,19594
BIOMD0000000574,cam_RR_0_0,9901.557702597263,0.4999972465513257,1000000.0,0.5800601884130969,0.5753854875192655,0.5773564393932425,0.580957347036429,0.5814905700886438,0.5815944360313743,101
BIOMD0000000574,cam_RR_0_rbp,9901.980153141132,0.9990739325189316,1000000.0,0.9999840461815,0.999967983406112,0.9999733376312192,0.999989377473298,0.9999916148272432,0.999991953413954,101
BIOMD0000000574,cam_RR_0_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_A_0,49504.83168316832,-1.0,1000000.0,-1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_A_rbp,49505.10891089109,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_A_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_B_0,49504.9504950495,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_B_rbp,49504.9900990099,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_B_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_C_0,50096.76340540649,0.5809975368683435,1000000.0,0.99430293814637,0.9906127207720066,0.9919340356216192,0.9953017733810212,59662.68471398584,1000000.0,101
BIOMD0000000574,cam_RR_C_rbp,49505.90097576832,0.9985631341991812,1000000.0,0.9999999973342482,0.999999995399568,0.9999999960953362,0.9999999978313702,0.999999997976965,1000000.0,101
BIOMD0000000574,cam_RR_C_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_D_0,50096.76340540649,0.5809975368683435,1000000.0,0.99430293814637,0.9906127207720066,0.9919340356216192,0.9953017733810212,59662.68471398584,1000000.0,101
BIOMD0000000574,cam_RR_D_rbp,49505.90097576832,0.9985631341991812,1000000.0,0.9999999973342482,0.999999995399568,0.9999999960953362,0.9999999978313702,0.999999997976965,1000000.0,101
BIOMD0000000574,cam_RR_D_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_AB_0,49505.08910891089,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_AB_rbp,49504.9702970297,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_AB_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_AC_0,49505.08910891089,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_AC_rbp,49505.08910891089,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_AC_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_AD_0,49505.08910891089,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_AD_rbp,49505.08910891089,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_AD_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
