description,aggregation_type,mean,min,max,median,p25,p30,p75,p95,p99,count
BIOMD0000000539,model,6601.4666641592785,4.000005682236463e-08,1000000.0,0.6812576694781987,0.45210971325130556,0.5048428894546437,0.9999922148218359,1.02284799082534,9.988462259987433,606
BIOMD0000000539,A,0.5844968664355507,2.4889999838961785e-06,0.9999493068736225,0.5809490272598422,0.34058180689747264,0.39286481254239264,0.9381197337200393,0.999933584886893,0.9999483980585221,101
BIOMD0000000539,AgB,9901.529661659042,0.01568603349467698,1000000.0,0.5203710776930089,0.3089272828117299,0.3553226486561639,0.734182137481173,1.0258498329188415,1.3469780016650683,101
BIOMD0000000539,gB,1.3350778109055486,4.000005682236463e-08,10.837077430468293,0.529475989860833,0.41993039442455576,0.46062814165487764,0.5589750805106527,7.048102270126146,10.724922945080914,101
BIOMD0000000539,rB,9901.43095336252,0.0030296536555122306,1000000.0,0.5017597168892491,0.28852769254406585,0.35192164719850677,0.6044440065014909,0.7805552338792712,0.9257121452918478,101
BIOMD0000000539,B,9901.939527740999,0.006502995659430008,1000000.0,0.9999831684306718,0.9998173564814761,0.9999361458344646,0.9999910737737466,0.9999923174648528,1.6686079231424782,101
BIOMD0000000539,AB,9901.980267515777,1.0000012559555111,1000000.0,1.0000017396082979,1.0000014058972162,1.000001451559682,1.0000028115499935,1.0000418984275554,1.0057956054290333,101
BIOMD0000000558,model,3.6316738627183954e-07,2.36839647307766e-12,4.889974374555628e-05,8.957443043760406e-09,1.256610718942582e-09,1.4321215818700825e-09,2.4131811416032643e-07,4.1906044636073166e-07,4.817919632651737e-07,202
BIOMD0000000558,ROS,4.872018268450879e-07,2.36839647307766e-12,4.889974374555628e-05,1.2932206001512543e-09,7.175911242775383e-10,8.301941207132506e-10,1.5992325843809266e-09,8.48707490504204e-09,9.778213130122501e-08,101
BIOMD0000000558,alpha_syn,2.391329456985913e-07,7.246203637123472e-12,5.001324573668928e-07,2.4106609627340344e-07,1.1386773423804207e-07,1.4516170473788325e-07,3.647641493283734e-07,4.2638844514852973e-07,4.819744868453747e-07,101
BIOMD0000000563,model,792079.2089108916,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1010
BIOMD0000000563,PAMP,990099.0099009901,6.708910589945594e-15,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000563,R,3.893430572444034e-11,0.0,9.25663989903569e-11,3.490319144816567e-11,1.718392095284571e-11,2.0434542946645706e-11,5.8053117868439585e-11,8.699041487147952e-11,9.131850831067823e-11,101
BIOMD0000000563,R_0,990099.0099009901,2.0151740826546087e-16,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000563,E_int,990099.0099009901,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000563,Callose,990099.0099009901,3.1671710499981105e-13,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000563,Path,990099.0099009901,4.438495901287576e-15,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000563,Path_bulk,990099.0198019802,1.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000563,PRR,990099.0099009901,1.1383667104926638e-16,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000563,PRR_0,5.8096620517676695e-09,0.0,1.3869881909656101e-08,5.2621296209309776e-09,2.522300035501246e-09,3.0997910904773107e-09,8.72186611822201e-09,1.3046552727047356e-08,1.3692789568864328e-08,101
BIOMD0000000563,E,990099.0099009901,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000573,model,4950.76202333656,2.978950387079852e-12,1000000.0,0.001965800835514518,6.143294127452315e-10,7.365993720614588e-10,0.3474811997000321,0.737851563776272,4.7454055289878845,202
BIOMD0000000573,V,6.812632882674372e-10,2.978950387079852e-12,1.623204681777679e-09,6.097486868178593e-10,3.1254532019956514e-10,3.6704194747201167e-10,1.0164140598759427e-09,1.5018462017295891e-09,1.598932985752206e-09,101
BIOMD0000000573,C,9901.524046672439,0.003931600047824354,1000000.0,0.34895083648879105,0.19722530979324288,0.23184665461932605,0.46104532601986176,1.7635839689968085,9.737394134932677,101
BIOMD0000000574,model,366043.53689591045,-29.724210198118666,1000000.0,1.0,0.9986209825251376,0.9999991474118349,1000000.0,1000000.0,1000000.0,19594
BIOMD0000000574,cam_RR_0_0,9901.557702597265,0.4999972465513257,1000000.0,0.5800601884130969,0.5753854875192655,0.5773564393932425,0.580957347036429,0.5814905700886438,0.5815944360313743,101
BIOMD0000000574,cam_RR_0_rbp,9901.980153141132,0.9990739325189315,1000000.0,0.9999840461814999,0.9999679834061121,0.9999733376312191,0.9999893774732979,0.9999916148272433,0.999991953413954,101
BIOMD0000000574,cam_RR_0_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_A_0,49504.83168316832,-1.0,1000000.0,-1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_A_rbp,49505.10891089109,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_A_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_B_0,49504.9504950495,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_B_rbp,49504.9900990099,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_B_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_C_0,50096.76340540649,0.5809975368683435,1000000.0,0.9943029381463699,0.9906127207720066,0.9919340356216192,0.9953017733810213,59662.68471398584,1000000.0,101
BIOMD0000000574,cam_RR_C_rbp,49505.900975768316,0.9985631341991811,1000000.0,0.9999999973342482,0.999999995399568,0.9999999960953362,0.9999999978313702,0.999999997976965,1000000.0,101
BIOMD0000000574,cam_RR_C_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_D_0,50096.76340540649,0.5809975368683435,1000000.0,0.9943029381463699,0.9906127207720066,0.9919340356216192,0.9953017733810213,59662.68471398584,1000000.0,101
BIOMD0000000574,cam_RR_D_rbp,49505.900975768316,0.9985631341991811,1000000.0,0.9999999973342482,0.999999995399568,0.9999999960953362,0.9999999978313702,0.999999997976965,1000000.0,101
BIOMD0000000574,cam_RR_D_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_AB_0,49505.08910891089,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_AB_rbp,49504.9702970297,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_AB_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_AC_0,49505.08910891089,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_AC_rbp,49505.08910891089,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_AC_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_AD_0,49505.08910891089,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_AD_rbp,49505.08910891089,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_AD_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_BC_0,49505.08910891089,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_BC_rbp,49505.08910891089,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_BC_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_BD_0,49505.08910891089,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_BD_rbp,49505.08910891089,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_BD_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_CD_0,49505.88045790723,-1.0712141594775086,1000000.0,0.9999820394019184,0.9999768629051854,0.9999784103847195,0.9999864326305586,0.9999888236661238,1000000.0,101
BIOMD0000000574,cam_RR_CD_rbp,49505.900990403716,1.0000000018633128,1000000.0,1.0000000031960623,1.0000000024967632,1.0000000026615967,1.0000000040586394,1.0000302672708312,1000000.0,101
BIOMD0000000574,cam_RR_CD_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_ABC_0,49504.9900990099,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_ABC_rbp,49505.069306930694,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_ABC_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_ABD_0,49504.9900990099,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_ABD_rbp,49505.069306930694,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_ABD_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_ACD_0,49505.08910891089,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_ACD_rbp,49505.12871287129,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
BIOMD0000000574,cam_RR_ACD_tbp,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,101
BIOMD0000000574,cam_RR_BCD_0,49505.08910891089,-1.0,1000000.0,1.0,-1.0,-1.0,1.0,1.0,1000000.0,101
